date	AFG	ALB	DZA	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BOL	BWA	BRA	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	HKG	MAC	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	CSK	DNK	DMA	DOM	ECU	EGY	SLV	GNQ	EST	ETH	EMU	FJI	FIN	FRA	PYF	NCL	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GLP	GTM	GUF	GNB	GUY	HTI	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KOR	KWT	KGZ	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MTQ	MUS	MEX	MDA	MNG	MNE	MAR	MMR	NAM	NPL	NLD	ANT	NZL	NIC	NGA	NOR	OMN	PAK	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	REU	ROU	RUS	RWA		WSM	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	UGA	UKR	ARE	GBR	USA	URY	VUT	VEN	VNM	YMN	YMD	YUG	ZMB
10/27/1960				319,000,000.00			76,900,000.00			212,912,034.09	92,961,538.37				624,165.11												7,614,285.71		510,261,083.27				56,524,858.64			44,500,000.00				6,100,000.00			4,059,998.38			126,825,285.03		17,170,000.00		35,320,265.86							82,812,499.94	593,875,706.93						1,012,380,951.61	23,532,181.35		30,233,031.00			10,780,000.00			6,918,316.03	2,180,000.00	3,750,000.00		6,578,947.37	129,990,129.89	42,000,000.00	38,078,563.57	54,095,978.46	42,279,983.16	18,700,000.00	294,399,999.71	10,107,995.96	366,666,666.30				4,000,000.00						6,550,000.00	1,119,999.56									727,999.71		4,179,004.18	56,719,999.94				24,108,337.32	7,644,007.64			410,789,473.38	55,306,332.36	36,679,883.34		36,539,985.40	76,859,969.19		36,330,036.30	1,290,000.00		2,680,000.00	40,697,674.42	52,970,349.89		29,043,478.23									61,971,283.78	6,202,538.99				89,506,797.88				105,279,957.93	64,999,999.94	26,880,000.00		152,249.62		10,395,070.11	3,713,527.85		233,510,721.39	175,396,471.35		10,400,000.00			38,930,740.20					9,095,238.11	34,900,000.00				1,019,199,594.15	1,804,000,000.00	11,100,000.00		173,082,661.94			15,399,993.87	52,000,000.00	42,600,000.00
11/26/1960				386,000,000.00			91,900,000.00			187,264,029.98	102,538,461.44				641,665.06												8,837,142.86		469,998,982.11				58,799,852.95			47,100,000.00				7,300,000.00			4,003,998.41			147,094,166.20		18,780,000.00		66,046,025.59							98,124,999.93	612,712,828.60						1,200,476,189.56	21,851,311.26		37,299,627.00			11,910,000.00			7,979,980.05	2,580,000.00	5,100,000.00		7,105,263.16	142,590,142.48	99,000,000.00	38,441,736.64	56,643,977.44	36,399,985.51	18,900,000.00	329,599,999.67	11,451,995.43	442,499,999.56				5,000,000.00						6,440,000.00	839,999.67									725,199.71		1,008,001.01	73,039,999.93				45,252,534.80	10,563,010.55			411,315,789.17	65,646,442.44	70,699,775.14		35,839,985.68	82,599,966.89		31,920,031.89	1,600,000.00		2,170,000.00	46,864,899.81	53,465,399.89		41,982,608.65									67,728,179.00	4,078,204.72				91,466,800.76				85,259,965.93	86,666,666.58	28,350,000.00		90,999.77		18,607,749.82	3,554,376.66		243,755,810.99	187,516,436.13		24,700,000.00			42,904,230.08					9,404,761.92	41,800,000.00				912,799,636.52	1,811,000,000.00	7,200,000.00		208,059,701.55			16,799,993.31	68,300,000.00	38,900,000.00
12/26/1960				238,000,000.00			80,400,000.00			184,912,029.61	81,346,153.77				454,998.86												5,354,285.71		482,493,705.79				60,374,849.01			38,100,000.00				7,400,000.00			3,303,998.68			122,771,508.80		15,760,000.00		37,617,518.92							64,374,999.96	543,035,733.38						928,571,427.86	28,294,646.63		13,799,862.00			9,120,000.00			4,783,321.37	3,020,000.00	4,900,000.00		5,789,473.68	111,300,111.21	30,000,000.00	39,916,111.14	58,267,976.80	37,799,984.95	27,700,000.00	281,599,999.72	13,271,994.70	260,833,333.07				3,000,000.00						6,100,000.00	559,999.78				5,837,482.22					596,399.76		1,974,001.97	67,439,999.93				26,479,649.18	10,059,010.05			406,315,789.17	65,911,573.47	55,019,825.01		36,119,985.57	76,999,969.13		39,480,039.45	1,370,000.00		1,440,000.00	40,235,671.40	44,059,449.91		17,704,347.81									70,098,665.26	10,773,929.99			5,474,025.81	91,140,133.61				98,839,960.50	63,333,333.27	31,920,000.00				12,118,009.91	3,501,326.26		220,366,078.14	142,924,112.90		14,999,999.99			39,952,405.06					12,071,428.59	37,100,000.00				985,599,607.53	1,653,000,000.00	17,600,000.00		210,447,761.26			16,239,993.53	38,400,000.00	37,000,000.00
1/25/1961				440,000,000.00			89,300,000.00			178,976,028.66	87,884,615.30				524,998.69												4,205,714.29		388,973,322.95				51,274,871.77			39,200,000.00				8,800,000.00			4,675,998.14			114,519,178.61		10,200,000.00		26,131,253.60							65,312,499.96	557,821,861.15						963,571,427.84	24,372,616.40		15,999,840.00			11,310,000.00			3,954,990.11	2,840,000.00	6,650,000.00		6,842,105.26	108,570,108.48	42,000,000.00	32,841,324.48	50,819,979.76	38,079,984.84	26,000,000.00	318,399,999.68	11,087,995.57	314,722,221.91				2,000,000.00						4,700,000.00	559,999.78				7,960,203.03					562,799.78		630,000.63	66,559,999.93				24,898,774.60	12,810,012.80			370,263,157.62	62,889,079.75	81,059,742.19		42,139,983.16	68,459,972.56		43,890,043.86	1,890,000.00		1,170,000.00	30,175,307.72	50,000,049.90		24,799,999.98									68,066,819.89	12,366,037.95			7,965,996.82	75,786,777.77				107,799,956.92	64,999,999.94	27,300,000.00				12,405,166.55	3,607,427.06		201,229,023.98	156,416,149.16		23,499,999.98			41,346,401.16					11,357,142.87	26,700,000.00				890,399,645.44	1,680,000,000.00	12,200,000.00		187,220,065.75			17,639,992.98	40,700,000.00	33,800,000.00
2/24/1961				296,000,000.00			104,300,000.00			196,784,031.51	109,384,615.28				1,294,996.76												6,582,857.14		466,160,235.46				55,299,861.70			23,700,000.00				10,300,000.00			5,067,997.98			129,431,284.04		14,920,000.00		53,123,977.10							69,687,499.95	678,946,579.00						1,075,499,999.19	32,917,039.39		17,533,333.32			10,790,000.00			7,565,814.42	2,640,000.00	7,500,000.00		5,789,473.68	118,230,118.14	62,000,000.00	25,506,200.74	51,659,979.43	43,679,982.61	28,200,000.00	364,799,999.64	16,827,993.28	370,833,332.96				3,000,000.00						5,100,000.00	559,999.78				5,946,859.06					747,599.70		840,000.84	69,279,999.93				33,198,366.14	26,124,026.10			463,259,668.17	65,063,499.19	80,499,743.97		42,139,983.16	88,199,964.64		28,350,028.33	2,230,000.00		2,210,000.00	34,297,643.90	45,049,549.91		28,626,086.93									71,791,869.74	10,937,171.36			6,929,997.23	93,426,803.63				119,559,952.22	69,999,999.93	34,020,000.00				13,266,636.44	3,660,477.45		210,314,292.12	171,280,256.90		14,249,999.99			47,510,428.86					12,714,285.73	18,000,000.00				937,999,626.49	1,943,000,000.00	19,300,000.00		192,537,313.49			16,239,993.53	49,100,000.00	44,400,000.00
3/26/1961				290,000,000.00			89,100,000.00			183,120,029.32	99,307,692.21				5,658,319.19												6,348,571.43		475,983,416.40				51,799,870.46			39,400,000.00				9,400,000.00			5,375,997.86			113,360,956.83		12,620,000.00		53,698,290.37							67,499,999.95	562,480,504.14						1,091,999,999.18	37,259,287.14		16,633,333.32			12,440,000.00			5,623,319.27	1,960,000.00	9,200,000.00		5,000,000.00	110,250,110.16	75,000,000.00	60,633,663.31	53,479,978.70	34,999,986.06	18,800,000.00	323,199,999.68	15,511,993.80	346,388,888.54				3,000,000.00						4,170,000.00	0.00				5,428,331.84					1,271,199.49		420,000.42	83,679,999.92				29,641,398.34	22,974,022.96			380,939,226.24	53,662,804.55	67,619,784.94		43,959,982.43	71,119,971.49		26,460,026.44	2,560,000.00		2,020,000.00	33,998,880.39	68,811,949.86		23,826,086.93									66,373,615.42	16,567,646.13			4,815,998.08	88,526,796.45				105,279,957.93	66,666,666.60	24,150,000.00				14,443,978.64	3,713,527.85		205,288,399.11	153,900,684.77		15,999,999.98			34,376,308.31					7,523,809.53	20,900,000.00				951,999,620.91	1,712,000,000.00	18,600,000.00		176,171,991.69			14,839,994.09	42,800,000.00	45,600,000.00
4/25/1961				276,000,000.00			97,400,000.00			210,224,033.66	101,692,307.59				5,745,818.97												9,094,285.71		488,309,873.91				55,124,862.14			34,500,000.00				9,300,000.00			4,031,998.39			111,623,624.15		13,690,000.00		65,471,712.32							79,999,999.95	619,194,418.86						1,008,499,999.24	25,773,341.48		12,633,333.32			15,210,000.00			7,653,314.20	2,960,000.00	7,550,000.00		7,368,421.05	116,550,116.46	59,000,000.00	60,396,039.54	52,555,979.07	39,199,984.39	17,200,000.00	334,399,999.67	18,843,992.47	327,777,777.45				4,000,000.00						5,870,000.00	0.00				5,444,535.81					2,374,399.05		399,000.40	71,359,999.93				41,300,348.35	26,187,026.17			399,447,513.52	60,132,035.92	86,659,724.38		42,839,982.88	74,059,970.31		26,040,026.02	3,280,000.00		3,130,000.00	36,031,331.59	63,861,449.87		26,365,217.36									65,357,692.73	11,917,592.26			15,203,993.92	89,833,465.03				111,439,955.47	59,999,999.94	34,650,000.00				18,894,906.45	3,448,275.86		246,462,061.07	158,474,256.39		13,999,999.99			36,734,508.54					11,261,904.78	20,400,000.00				901,599,640.98	1,755,000,000.00	21,600,000.00		180,489,260.20			12,879,994.87	48,700,000.00	49,400,000.00
5/25/1961				289,000,000.00			80,600,000.00			218,960,035.06	102,846,153.75				3,394,991.51												7,208,571.43		528,461,462.48				55,999,859.95			39,600,000.00				5,700,000.00			4,843,998.07			138,697,058.29		13,920,000.00		67,481,808.75							95,312,499.93	640,462,136.87						1,104,749,999.17	32,216,676.85		8,133,333.33			9,970,000.00			6,428,317.26	3,740,000.00	7,000,000.00		3,684,210.53	102,690,102.61	53,000,000.00	78,930,692.99	51,967,979.31	43,399,982.72	16,300,000.00	324,799,999.68	14,783,994.10	341,388,888.55				3,000,000.00						4,360,000.00	279,999.89				6,692,241.93					1,147,999.54		567,000.57	55,199,999.94				24,898,774.60	24,066,024.05			394,198,894.74	58,647,294.30	74,059,764.45		40,739,983.72	77,419,968.97		27,510,027.49	2,690,000.00		3,830,000.00	40,395,374.86	72,277,299.85		22,608,695.63									58,246,233.94	13,469,061.53			10,737,995.71	98,653,477.96				121,799,951.33	41,666,666.63	32,760,000.00				16,253,065.43	3,554,376.66		240,083,043.02	171,737,614.06		18,749,999.98			35,931,377.65					8,404,761.92	16,900,000.00				949,199,622.03	1,711,000,000.00	17,500,000.00		166,219,039.14			14,279,994.31	58,400,000.00	57,600,000.00
6/24/1961				344,000,000.00			80,500,000.00			195,888,031.37	104,653,846.05				3,587,491.03												3,900,000.00		536,099,023.31				59,149,852.08			34,300,000.00				6,300,000.00			4,143,998.35			119,152,065.73		10,350,000.00		47,093,687.81							97,187,499.93	606,231,238.35						1,054,499,999.21	27,594,284.09		9,499,999.99			8,210,000.00			6,632,483.42	2,860,000.00	5,900,000.00		7,105,263.16	104,790,104.71	58,000,000.00	74,099,009.83	55,411,977.93	47,039,981.27	18,400,000.00	375,999,999.62	17,163,993.14	362,499,999.64				4,000,000.00						4,720,000.00	279,999.89				6,133,204.78					977,199.61		2,331,002.33	70,799,999.93				25,096,383.93	21,336,021.32			388,397,789.77	53,079,513.19	69,859,777.81		42,559,982.99	67,199,973.06		24,150,024.13	2,350,000.00		2,650,000.00	35,398,230.09	59,901,049.88		26,817,391.28									61,632,642.89	12,285,416.73			6,259,397.50	88,526,796.45				92,119,963.19	46,666,666.62	34,230,000.00				12,548,744.86	2,387,267.90		230,031,257.00	173,109,685.55		19,249,999.98			40,541,620.55					8,357,142.87	13,600,000.00				929,599,629.83	1,653,000,000.00	15,600,000.00		180,298,507.52			12,879,994.87	46,000,000.00	51,100,000.00
7/24/1961				280,000,000.00			78,700,000.00			174,944,028.01	95,307,692.22				1,633,329.25												3,745,714.29		529,337,858.00				60,374,849.01			35,500,000.00				4,100,000.00			2,911,998.84			122,192,397.91		12,950,000.00		36,468,892.39							103,124,999.93	504,753,840.95						1,015,749,999.24	31,656,386.82		8,933,333.32			4,000,000.00			799,164.67	2,540,000.00	5,200,000.00		3,953,488.37	126,210,126.11	68,000,000.00	65,795,379.47	55,355,977.96	43,399,982.72	16,200,000.00	342,399,999.66	12,431,995.03	362,222,221.86				3,000,000.00						6,260,000.00	559,999.78				6,627,426.03					873,599.65		9,870,009.86	69,679,999.93				24,898,774.60	19,698,019.68			388,397,789.77	62,253,095.39	58,379,814.32		49,419,980.25	85,819,965.60		30,870,030.85	2,800,000.00		2,950,000.00	50,589,024.75	61,386,199.88		24,069,565.19									66,034,974.52	9,281,084.87			5,781,997.69	88,526,796.45				111,999,955.24	41,666,666.63	29,610,000.00				12,175,441.24	3,713,527.85		219,399,560.25	145,439,577.29		17,749,999.98			39,115,772.23					7,023,809.53	12,800,000.00				915,599,635.41	1,673,000,000.00	9,400,000.00		183,338,310.00			13,719,994.54	43,400,000.00	49,400,000.00
