date	ABW	AND	AFG	AGO	ALB	ARB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	EAP	EAS	ECA	ECS	ECU	EGY	EMU	ERI	ESP	EST	ETH	EUU	FCS	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HIC	HKG	HND	HPC	HRV	HTI	HUN	IDN	IMN	IND
1/1/2000	48412	4974	15508973	10176778	1799636	132012144	602827	4023698	1086908	6565	52702	2458288	2739956	3912746	6209060	294416	4285466	9536622	100311613	2541005	77542	53594	2302049	3004201	129436	0	3182858	33061914	178552	95319	420782	812389	2323601	6314558	41663018	1916614	103416	2112780	809645853	9325868	8673914	1284284	11282806	393903	204298	1607511	3776392	2743290	12379	0	295739	2667547	22142025	169571	24203	795603	3275546	12498722	1149332231	1189303571	104481801	272441941	5013679	39089616	88010477	2914559	9557682	427924	56649816	138782014	215203427	922245	422582	14697577	29598	83441	245300	12572963	2092595	10555362	6069928	640631	833288	324876	2978726	65168	10341	6413918	10673	529246	291049696	0	3405101	338842885	1965719	5505686	3617236	122689217	37003	762014464
1/1/2001	49848	5384	16097251	10403415	1761589	134037353	622496	3998587	1089832	6695	53906	2450309	2750384	3926875	6358958	289670	4401808	9729371	101541384	2472974	80823	54371	2307016	2932930	134145	0	3202030	32913026	179597	95554	426992	809671	2363325	6275436	41430028	1928780	104116	2094427	800082679	9411723	8805931	1300425	11321137	404096	204482	1582453	3795766	2725977	11600	0	300280	2668884	22141424	171938	24115	795779	3256552	12411205	1141489050	1179735548	104337136	271914292	5038408	39781241	87837767	3004561	9641647	426956	58184086	138380324	219437353	914750	420949	14647860	29535	83239	241373	12562339	2088014	10688574	6147679	649074	840021	335992	2966504	65076	10228	6523483	10585	530574	289048105	0	3442798	346925917	1965810	5454497	3599271	122703029	37381	772638445
1/1/2002	51324	5939	16778186	10649315	1723790	136087057	642597	3971193	1088386	6816	55141	2448368	2763544	3939942	6538294	285288	4525292	9923986	102503739	2397994	84360	55286	2313038	2866868	138647	0	3219822	32805461	180610	95680	433436	815187	2400708	6307525	41102930	1940658	104793	2075509	788406300	9477244	8937062	1315221	11356358	414354	204263	1554136	3814272	2708336	11765	0	306762	2670674	22128364	174258	23951	792950	3236061	12315979	1131333066	1167414135	104082166	271039798	5082677	40496673	87589382	3104740	9722744	425998	59749433	137683518	223826647	909949	418515	14598404	29410	83094	237663	12439896	2078594	10829082	6224876	657982	846503	347444	2932325	65285	10136	6634724	10482	531188	286460342	0	3470921	355240024	1959106	5394933	3547284	122670071	37709	782276276
1/1/2003	52770	6576	17502405	10908661	1684768	138178604	671788	3942045	1085520	6918	56257	2448129	2776552	3953356	6741915	280986	4653298	10121783	103355536	2356534	88528	56293	2319247	2800472	143041	0	3236596	32680158	181614	95758	439620	821812	2436993	6345653	40935190	1952321	105483	2057074	775926016	9530615	9067654	1330094	11387824	424752	203591	1523432	3832900	2697505	12167	0	313888	2676944	22091923	176528	23824	789180	3174945	12218055	1120210469	1154249483	103940316	270300669	5140949	41228108	87344374	3208920	9796815	425074	61342906	137154649	228395367	905083	415785	14545384	29302	82964	234225	12323786	2062634	10974863	6305900	667178	852776	359093	2899031	65506	10026	6746355	10361	531426	284018302	0	3496502	363690270	1951824	5328034	3495810	122594686	38011	791686221
1/1/2004	54071	7245	18197814	11172028	1645111	140326184	720799	3911994	1082787	6994	57336	2445680	2793341	3971421	6961418	276681	4782596	10323809	104063840	2316218	93840	57328	2325250	2735395	147485	0	3252420	32531279	182654	95822	445011	829006	2473851	6384602	40783306	1962980	106176	2038948	762817902	9582204	9197740	1346848	11414186	435371	202386	1491214	3851983	2693155	12540	0	320900	2684795	22040918	178738	23700	780089	3095474	12122355	1108257903	1140332070	103851070	269652627	5199322	41963742	87115891	3309079	9862593	424271	62955413	136672175	233018588	900709	413441	14495491	29224	82777	231141	12220136	2055036	11122571	6395535	676735	858903	370862	2866419	65738	9914	6856608	10229	531700	281739632	0	3520185	372272722	1943527	5254381	3446941	122473994	38315	800850345
1/1/2005	55142	7883	18813580	11434010	1604189	142506257	795013	3881667	1079823	7035	58440	2447376	2811943	3995444	7190381	272758	4910890	10531248	104611881	2276769	100574	58342	2330617	2671433	152090	0	3267443	32354346	183756	95890	449530	837441	2511800	6422979	40624113	1972769	106862	2021246	749352182	9640070	9327972	1366624	11435632	446201	200649	1458327	3872707	2687563	13031	0	327660	2695557	21973977	180894	23560	766524	3014772	12032995	1095689346	1125916937	103789619	269007859	5259083	42696771	86848596	3399583	9925418	423570	64580907	136160466	237571782	896820	411970	14449119	29108	82484	228422	12131582	2072973	11270563	6496907	686534	864988	382680	2834017	65975	9760	6964582	10089	532361	279570671	0	3542192	380906317	1936445	5179728	3393894	122320080	38642	809782501
1/1/2006	55950	8472	19331698	11691878	1561661	144755795	897316	3850649	1076275	7038	59590	2452701	2825477	4022610	7427738	269184	5037690	10743774	104983825	2237951	108955	59323	2334540	2610751	156886	0	3281477	32146002	184931	95973	455426	847251	2551257	6444726	40466352	1982344	107539	2004197	735901746	9705356	9457932	1389896	11451650	457265	198341	1424831	3894624	2680453	13543	0	334143	2709931	21834702	182979	23396	755890	2932759	11949625	1082847662	1111673654	103751694	268305296	5320636	43420662	86485837	3478160	9988509	422804	66217490	135557136	242114711	893317	411511	14393064	29032	82088	226103	12048279	2087950	11417618	6612461	696526	870920	394514	2801238	66221	9554	7069726	9938	533549	277790016	0	3562514	389623001	1926605	5104078	3337350	122124337	38996	818470414
1/1/2007	56533	9028	19773808	11947354	1517619	147105503	1020575	3819124	1072226	7006	60763	2437246	2834153	4051232	7674700	265961	5163368	10960031	105199310	2167172	118661	60279	2336510	2555101	161821	0	3294700	31909694	186166	96067	460204	858289	2591942	6447349	40210273	1997270	108204	1987707	722214159	9758156	9588462	1415928	11462415	468538	195577	1390713	3917527	2672061	13992	0	340364	2733000	21640169	185016	23219	748599	2849780	11872458	1069530047	1097131941	103614373	267605902	5383308	44174504	86138965	3546278	10067486	422596	67855418	134868850	246639978	890197	411880	14326192	28994	81629	224161	11970758	2081199	11563869	6741680	706801	876755	406383	2768536	66480	9342	7172146	9782	535137	276276455	0	3581136	398410297	1915376	5027916	3281402	121890793	39368	826888846
1/1/2008	56971	9532	20176169	12201199	1473922	149509144	1147011	3787011	1071100	6958	61959	2455345	2842540	4119674	7929206	262823	5287380	11179878	105306697	2126239	128671	61205	2336065	2503387	166857	0	3307171	31652023	187437	96164	464003	870348	2633733	6456994	39984942	2019904	108847	1971712	708173810	9816891	9719257	1443383	11467884	480030	192591	1356005	3941064	2663029	14353	0	346377	2762927	21434841	187035	23035	742353	2765962	11801993	1055694642	1082193771	103604758	267086752	5446745	44970583	85765271	3607081	10120932	423176	69363165	134187824	251157059	887391	412741	14250048	28917	81163	222594	11893520	2076825	11707982	6881534	717385	882630	418342	2733071	66752	9132	7272138	9632	536998	274944023	0	3597939	407164629	1904710	4951557	3225270	121617968	39749	835004284
1/1/2009	57380	9956	20592382	12455908	1432259	151895055	1254212	3755515	1074057	6917	63155	2475023	2849495	4188204	8189649	259764	5409578	11400477	105370311	2087198	137629	62104	2333993	2455468	171930	0	3318870	31385659	188702	96251	467097	883093	2676211	6470810	39850108	2042435	109456	1956483	693852712	9881824	9850969	1470246	11468064	491733	189725	1320761	3964659	2654334	14633	0	352282	2786024	21218431	189082	22861	737112	2682123	11745606	1041532721	1066980331	103871402	266730095	5509976	45820820	85249949	3665376	10102486	424069	70877514	133447869	255652991	884704	413660	14166960	28812	80772	221396	11813186	2085341	11849231	7026759	728409	888765	430495	2692508	67034	8963	7369922	9505	538880	273506107	0	3612550	416042214	1891792	4874946	3170565	121321537	40123	842800278
1/1/2010	57850	10285	21058618	12711389	1393502	154224167	1328131	3724075	1079305	6902	64344	2482317	2855935	4219228	8454360	257609	5529567	11620096	105431274	2048433	144610	62968	2330840	2409036	177004	0	3329952	31112916	189937	96320	469651	896233	2719079	6482425	39664527	2060846	110026	1942098	679206337	9953720	9983179	1495178	11462995	503633	187163	1284767	3987686	2646442	15012	0	358135	2801381	21024031	191118	22707	732572	2598023	11702382	1027053300	1051511380	104286587	266383539	5572134	46747779	84657716	3724906	10041047	424820	72396983	132593612	260129509	881842	414256	14081708	28690	80514	220543	11736055	2098649	11985482	7173922	739893	895196	442888	2644261	67327	8887	7465868	9409	540620	271946282	0	3624672	425048552	1875922	4798216	3114107	120990189	40482	850240997
1/1/2011	58411	10488	21585556	12967897	1358072	156696507	1364800	3693603	1087143	6914	65526	2485328	2865075	4254200	8721850	255534	5647012	11837730	105504710	2010650	149212	63786	2326557	2363892	181984	0	3340432	30833589	191076	96378	471676	909712	2762310	6485634	39482464	2080882	110551	1928266	664363135	10033202	10116243	1517829	11452647	515743	185071	1248296	4008548	2639637	15422	0	363959	2814526	20868222	193168	22571	726570	2513904	11672743	1012460105	1035990748	104639834	265976858	5633047	47758951	84062821	3785962	9968815	425245	73922256	131738012	264807574	878935	414461	13993809	28551	80398	220080	11658619	2106457	12116748	7322019	751868	902339	455529	2597381	67629	8673	7560006	9351	542187	270366129	0	3634195	434184529	1806422	4721838	3056534	120661092	40823	857294797
1/1/2012	59015	10543	22155981	13225950	1324653	159190237	1371171	3664389	1097190	6951	66682	2496699	2877662	4289447	8991734	252389	5761847	12053889	105590549	1974708	151774	64546	2320864	2321803	186886	0	3350225	30560615	192125	96419	473238	923533	2805977	6501489	39347991	2100056	111017	1915162	649832871	10120616	10249920	1538741	11437562	528023	183374	1212871	4027893	2633645	15738	0	369723	2825825	20357384	195208	22451	718964	2433248	11654894	998220075	1020897841	104809572	265062881	5691643	48825001	83106936	3847643	9868179	425445	75449287	130545405	269547253	876035	414386	13902547	28396	80414	219967	11571796	2103354	12243765	7471715	764298	910052	468392	2551337	67925	8408	7651798	9324	543636	268527165	0	3641397	443431308	1789216	4646332	2992775	120328123	41138	863903600
1/1/2013	59634	10501	22744630	13485061	1292718	161692675	1357714	3636174	1107859	7005	67810	2508463	2892824	4322312	9265304	248706	5874795	12269102	105683633	1939786	152931	65246	2313773	2283483	191722	0	3359594	30289623	193085	96451	474372	937249	2849960	6514131	39206235	2120460	111436	1902584	635688202	10213167	10383720	1558626	11417558	540440	181969	1178679	4045612	2627920	16094	0	375227	2832545	20250111	197239	22343	711749	2356293	11642953	984366731	1006277558	105010881	264685289	5748015	49918025	82670602	3910830	9730070	425436	76979972	129862305	274345087	872846	414040	13808096	28236	80545	220190	11480242	2095119	12366619	7622212	777125	918157	481414	2498512	68219	8115	7741680	9319	545037	267243373	0	3646908	452779793	1772111	4572225	2937652	119975576	41429	870136004
1/1/2014	60224	10457	23315165	13743305	1261731	164170576	1338752	3608603	1117929	7060	68911	2516093	2908640	4353539	9544689	244934	5986659	12484109	105761094	1905241	153639	65881	2305192	2246568	196519	0	3368503	30019367	193962	96472	475085	950422	2894168	6521667	39036615	2142236	111821	1890656	621970693	10307708	10516806	1578674	11392990	552907	180689	1145869	4061947	2620609	16476	0	380488	2835856	20146340	199224	22241	704833	2282960	11630075	970933085	992152041	105231438	264414333	5802020	50998602	82352424	3976283	9580230	425332	78509424	129274651	279160667	869477	413493	13712117	28092	80761	220748	11389307	2095848	12484698	7772864	790273	926364	494534	2445987	68510	7856	7829174	9320	546497	266077629	0	3651465	462209741	1752320	4499878	2882468	119586112	41701	876057482
